OrderID,CustomerLocation,Warehouse,OrderDate,DispatchDate,DeliveryDate,Distance_km,ModeOfTransport,ProductType,Quantity,Status
10054,Kolkata,Delhi_WH,2025-04-21,2025-05-06,2025-05-20,191,Bike,Groceries,74,Pending
10055,Kolkata,Jaipur_WH,2025-04-29,2025-05-11,2025-05-22,1313,Ship,Toys,166,Cancelled
10056,Kolkata,Jaipur_WH,2025-04-14,2025-05-13,2025-05-25,2221,Air,Pharma,375,Pending
10057,Hyderabad,Pune_WH,2025-04-13,2025-05-13,2025-05-24,684,Train,Books,363,Cancelled
10058,Lucknow,Mumbai_WH,2025-05-07,2025-05-15,2025-05-28,11,Train,Toys,434,Delivered
10059,Kolkata,Chennai_WH,2025-04-18,2025-05-08,2025-06-06,2011,Ship,Groceries,352,In Transit
10060,Kolkata,Pune_WH,2025-04-22,2025-04-22,2025-05-01,651,Train,Groceries,452,Cancelled
10061,Jaipur,Chennai_WH,2025-04-16,2025-05-05,2025-05-11,1297,Bike,Books,51,Cancelled
10062,Jaipur,Bangalore_WH,2025-04-23,2025-04-25,2025-05-31,1458,Bike,Furniture,208,Cancelled
10063,Ahmedabad,Lucknow_WH,2025-04-12,2025-05-05,2025-05-29,1991,Truck,Pharma,147,Cancelled
10064,Jaipur,Delhi_WH,2025-04-19,2025-05-01,2025-05-04,43,Air,Groceries,491,Delivered
10065,Lucknow,Lucknow_WH,2025-04-25,2025-05-13,2025-05-23,1148,Train,Toys,421,Cancelled
10066,Delhi,Mumbai_WH,2025-05-02,2025-05-13,2025-05-31,2260,Train,Books,187,Delivered
10067,Delhi,Delhi_WH,2025-04-17,2025-04-19,2025-06-03,428,Bike,Toys,425,Cancelled
10068,Bangalore,Pune_WH,2025-04-17,2025-04-30,2025-05-18,1478,Truck,Books,367,Pending
10069,Hyderabad,Hyderabad_WH,2025-05-04,2025-05-12,2025-05-21,1663,Truck,Toys,170,Delivered
10070,Chennai,Ahmedabad_WH,2025-04-16,2025-05-10,2025-05-27,2408,Bike,Electronics,25,In Transit
10071,Lucknow,Jaipur_WH,2025-05-04,2025-05-06,2025-05-31,1967,Bike,Books,370,Delivered
10072,Kolkata,Chennai_WH,2025-04-18,2025-05-05,2025-06-01,415,Truck,Toys,323,Pending
10073,Hyderabad,Lucknow_WH,2025-04-22,2025-05-07,2025-05-27,2034,Truck,Toys,46,Pending
10074,Delhi,Lucknow_WH,2025-04-22,2025-05-02,2025-05-20,1733,Ship,Pharma,101,Delivered
10075,Ahmedabad,Delhi_WH,2025-05-09,2025-05-17,2025-06-05,574,Ship,Furniture,453,Pending
10076,Hyderabad,Delhi_WH,2025-04-25,2025-05-11,2025-05-14,681,Air,Pharma,150,Pending
10077,Hyderabad,Bangalore_WH,2025-05-01,2025-05-06,2025-05-06,1403,Train,Books,471,Cancelled
10078,Bangalore,Mumbai_WH,2025-05-05,2025-05-18,2025-06-02,1710,Bike,Electronics,63,Delivered
10079,Ahmedabad,Kolkata_WH,2025-05-07,2025-05-14,2025-05-19,1531,Air,Apparel,326,Pending
10080,Kolkata,Mumbai_WH,2025-05-04,2025-05-04,2025-05-20,134,Train,Machinery,58,In Transit
10081,Ahmedabad,Ahmedabad_WH,2025-04-18,2025-05-13,2025-05-16,1145,Ship,Pharma,229,Delivered
10082,Ahmedabad,Mumbai_WH,2025-04-21,2025-05-16,2025-05-20,1216,Train,Furniture,128,Pending
10083,Kolkata,Pune_WH,2025-04-10,2025-05-06,2025-05-17,1384,Train,Pharma,183,Pending
10084,Ahmedabad,Hyderabad_WH,2025-05-02,2025-05-14,2025-06-07,1908,Bike,Books,432,Cancelled
10085,Chennai,Delhi_WH,2025-05-04,2025-05-14,2025-05-18,1597,Bike,Electronics,49,In Transit
10086,Jaipur,Pune_WH,2025-04-11,2025-04-16,2025-05-19,2072,Bike,Toys,211,Delivered
10087,Chennai,Delhi_WH,2025-04-23,2025-05-19,2025-06-06,1518,Bike,Apparel,279,Delivered
10088,Kolkata,Chennai_WH,2025-04-23,2025-05-03,2025-05-16,1098,Air,Books,216,Pending
10089,Kolkata,Kolkata_WH,2025-04-12,2025-04-23,2025-05-01,1330,Ship,Pharma,479,Pending
10090,Jaipur,Jaipur_WH,2025-04-13,2025-05-10,2025-05-11,2235,Bike,Pharma,95,In Transit
10091,Jaipur,Jaipur_WH,2025-04-26,2025-05-12,2025-06-08,411,Bike,Furniture,119,In Transit
10092,Lucknow,Delhi_WH,2025-04-15,2025-04-28,2025-05-16,1989,Train,Apparel,213,Cancelled
10093,Ahmedabad,Hyderabad_WH,2025-04-24,2025-05-08,2025-05-30,561,Bike,Electronics,126,Pending
10094,Chennai,Delhi_WH,2025-05-07,2025-05-09,2025-05-09,753,Train,Books,203,Delivered
10095,Ahmedabad,Hyderabad_WH,2025-04-26,2025-05-06,2025-05-07,2358,Truck,Pharma,264,In Transit
10096,Hyderabad,Mumbai_WH,2025-04-15,2025-04-19,2025-05-26,1916,Ship,Furniture,201,Cancelled
10097,Chennai,Delhi_WH,2025-04-27,2025-05-08,2025-05-10,701,Air,Electronics,483,Pending
10098,Hyderabad,Ahmedabad_WH,2025-05-07,2025-05-17,2025-05-27,2474,Ship,Toys,334,Cancelled
10099,Ahmedabad,Pune_WH,2025-04-12,2025-05-04,2025-05-07,1990,Truck,Toys,65,Pending
10100,Kolkata,Chennai_WH,2025-05-03,2025-05-16,2025-05-27,2462,Ship,Groceries,136,Pending
10101,Chennai,Mumbai_WH,2025-04-19,2025-04-29,2025-05-24,720,Ship,Pharma,118,Cancelled
10102,Ahmedabad,Kolkata_WH,2025-04-13,2025-05-06,2025-05-24,2039,Truck,Furniture,240,Pending
10103,Kolkata,Mumbai_WH,2025-05-03,2025-05-04,2025-06-03,550,Air,Furniture,421,Pending
10104,Pune,Chennai_WH,2025-04-29,2025-05-02,2025-06-07,942,Air,Electronics,138,Delivered
10105,Bangalore,Lucknow_WH,2025-04-25,2025-04-28,2025-05-05,307,Air,Toys,295,Delivered
10106,Bangalore,Chennai_WH,2025-05-07,2025-05-14,2025-05-21,1143,Air,Furniture,206,Pending
10107,Hyderabad,Pune_WH,2025-04-21,2025-05-11,2025-06-06,1251,Ship,Books,366,Cancelled
10108,Ahmedabad,Chennai_WH,2025-04-14,2025-04-22,2025-05-03,604,Air,Furniture,430,In Transit
10109,Bangalore,Lucknow_WH,2025-04-13,2025-05-15,2025-05-19,2120,Bike,Furniture,362,Delivered
10110,Ahmedabad,Lucknow_WH,2025-04-29,2025-05-02,2025-05-16,2098,Ship,Pharma,267,Pending
10111,Delhi,Pune_WH,2025-04-27,2025-04-28,2025-05-15,571,Truck,Machinery,463,Delivered
10112,Bangalore,Hyderabad_WH,2025-05-04,2025-05-16,2025-05-16,686,Ship,Machinery,376,Delivered
10113,Delhi,Jaipur_WH,2025-05-09,2025-05-11,2025-05-19,343,Bike,Pharma,477,In Transit
10114,Bangalore,Pune_WH,2025-04-15,2025-04-25,2025-04-30,2488,Ship,Furniture,389,Delivered
10115,Mumbai,Mumbai_WH,2025-05-05,2025-05-08,2025-06-02,255,Bike,Electronics,337,Pending
10116,Chennai,Hyderabad_WH,2025-04-18,2025-05-17,2025-06-03,1438,Train,Pharma,58,Pending
10117,Jaipur,Bangalore_WH,2025-04-21,2025-05-01,2025-05-24,2004,Bike,Machinery,419,Cancelled
10118,Jaipur,Hyderabad_WH,2025-04-21,2025-04-23,2025-06-04,1522,Ship,Machinery,41,Pending
10119,Bangalore,Chennai_WH,2025-05-03,2025-05-04,2025-05-19,544,Air,Electronics,161,Cancelled
10120,Lucknow,Ahmedabad_WH,2025-05-03,2025-05-09,2025-05-25,1588,Air,Books,242,Delivered
10121,Hyderabad,Pune_WH,2025-05-06,2025-05-14,2025-06-07,740,Ship,Pharma,432,In Transit
10122,Chennai,Hyderabad_WH,2025-04-27,2025-05-02,2025-05-02,1493,Air,Toys,401,In Transit
10123,Bangalore,Delhi_WH,2025-04-22,2025-04-28,2025-05-08,2283,Truck,Apparel,313,In Transit
10124,Lucknow,Jaipur_WH,2025-05-04,2025-05-12,2025-05-26,1037,Bike,Electronics,485,Pending
10125,Kolkata,Chennai_WH,2025-04-30,2025-05-10,2025-05-15,1060,Train,Groceries,205,Cancelled
10126,Kolkata,Pune_WH,2025-04-11,2025-04-24,2025-06-06,833,Ship,Apparel,17,Pending
10127,Pune,Lucknow_WH,2025-04-13,2025-05-08,2025-05-27,2460,Bike,Pharma,455,In Transit
10128,Chennai,Chennai_WH,2025-04-13,2025-05-01,2025-05-22,1194,Bike,Pharma,347,In Transit
10129,Bangalore,Lucknow_WH,2025-04-10,2025-05-09,2025-06-02,1265,Air,Machinery,56,In Transit
10130,Kolkata,Lucknow_WH,2025-05-06,2025-05-17,2025-06-04,664,Air,Toys,367,Pending
10131,Delhi,Jaipur_WH,2025-04-27,2025-05-19,2025-05-19,1012,Air,Electronics,459,Cancelled
10132,Mumbai,Lucknow_WH,2025-05-09,2025-05-13,2025-06-08,385,Bike,Groceries,498,Delivered
10133,Delhi,Chennai_WH,2025-05-02,2025-05-13,2025-05-19,723,Train,Furniture,493,Delivered
10134,Jaipur,Hyderabad_WH,2025-04-22,2025-04-22,2025-04-24,1042,Train,Electronics,145,In Transit
10135,Mumbai,Jaipur_WH,2025-04-10,2025-04-10,2025-04-25,1574,Bike,Machinery,446,Delivered
10136,Jaipur,Pune_WH,2025-04-30,2025-05-09,2025-05-30,2397,Air,Electronics,184,In Transit
10137,Pune,Pune_WH,2025-04-16,2025-04-30,2025-04-30,528,Truck,Apparel,26,Delivered
10138,Jaipur,Kolkata_WH,2025-05-06,2025-05-19,2025-06-07,1534,Bike,Pharma,494,In Transit
10139,Hyderabad,Delhi_WH,2025-05-03,2025-05-09,2025-05-09,1087,Truck,Groceries,140,Delivered
10140,Pune,Bangalore_WH,2025-05-09,2025-05-14,2025-06-06,26,Truck,Electronics,338,In Transit
10141,Delhi,Ahmedabad_WH,2025-05-07,2025-05-13,2025-05-27,1302,Train,Pharma,374,Delivered
10142,Delhi,Kolkata_WH,2025-04-27,2025-05-08,2025-05-08,2219,Truck,Books,249,Delivered
10143,Hyderabad,Hyderabad_WH,2025-04-13,2025-04-14,2025-05-29,1415,Air,Machinery,112,Delivered
10144,Delhi,Kolkata_WH,2025-04-26,2025-05-09,2025-05-16,1706,Air,Books,50,Cancelled
10145,Pune,Mumbai_WH,2025-04-23,2025-05-05,2025-06-08,1733,Train,Electronics,153,Delivered
10146,Hyderabad,Mumbai_WH,2025-05-06,2025-05-13,2025-05-20,2268,Truck,Machinery,319,Cancelled
10147,Chennai,Jaipur_WH,2025-04-12,2025-05-15,2025-06-07,2032,Air,Toys,358,Pending
10148,Kolkata,Lucknow_WH,2025-05-01,2025-05-13,2025-06-07,835,Truck,Pharma,333,Pending
10149,Mumbai,Ahmedabad_WH,2025-05-04,2025-05-13,2025-05-13,1893,Bike,Apparel,67,In Transit
10150,Chennai,Delhi_WH,2025-05-09,2025-05-12,2025-06-04,2129,Truck,Pharma,50,In Transit
10151,Jaipur,Ahmedabad_WH,2025-04-26,2025-05-18,2025-06-08,2047,Bike,Toys,247,In Transit
10152,Ahmedabad,Mumbai_WH,2025-04-13,2025-05-01,2025-06-02,1522,Ship,Furniture,468,In Transit
10153,Jaipur,Hyderabad_WH,2025-05-03,2025-05-13,2025-05-15,1211,Air,Books,454,Pending
10154,Jaipur,Chennai_WH,2025-05-07,2025-05-07,2025-06-08,1002,Ship,Machinery,467,Pending
10155,Chennai,Bangalore_WH,2025-04-14,2025-04-17,2025-04-29,915,Truck,Pharma,300,Delivered
10156,Bangalore,Jaipur_WH,2025-05-02,2025-05-08,2025-06-04,1388,Bike,Furniture,229,In Transit
10157,Bangalore,Pune_WH,2025-05-01,2025-05-18,2025-05-25,2076,Air,Groceries,138,Cancelled
10158,Delhi,Jaipur_WH,2025-04-15,2025-05-18,2025-06-05,1072,Air,Books,166,Delivered
10159,Hyderabad,Jaipur_WH,2025-05-02,2025-05-06,2025-05-23,203,Train,Pharma,35,Cancelled
10160,Ahmedabad,Ahmedabad_WH,2025-04-11,2025-04-14,2025-05-25,201,Train,Apparel,255,In Transit
10161,Lucknow,Chennai_WH,2025-05-06,2025-05-08,2025-05-19,798,Ship,Electronics,304,Delivered
10162,Chennai,Chennai_WH,2025-05-08,2025-05-11,2025-06-07,588,Ship,Groceries,93,Delivered
10163,Mumbai,Ahmedabad_WH,2025-04-19,2025-05-10,2025-05-29,589,Air,Pharma,409,Pending
10164,Chennai,Hyderabad_WH,2025-04-20,2025-04-26,2025-05-19,2462,Train,Toys,437,Cancelled
10165,Chennai,Pune_WH,2025-04-25,2025-05-14,2025-05-30,232,Air,Furniture,157,Cancelled
10166,Jaipur,Delhi_WH,2025-04-19,2025-04-30,2025-06-07,480,Bike,Apparel,10,Delivered
10167,Pune,Pune_WH,2025-04-16,2025-05-06,2025-05-26,2267,Ship,Apparel,398,Cancelled
10168,Bangalore,Lucknow_WH,2025-04-13,2025-04-15,2025-05-09,1861,Bike,Toys,254,Cancelled
10169,Chennai,Kolkata_WH,2025-04-19,2025-05-14,2025-05-22,2246,Ship,Electronics,202,Cancelled
10170,Ahmedabad,Pune_WH,2025-05-02,2025-05-19,2025-06-04,1192,Truck,Electronics,442,Pending
10171,Jaipur,Lucknow_WH,2025-04-19,2025-04-20,2025-06-08,884,Train,Pharma,498,Pending
10172,Bangalore,Hyderabad_WH,2025-05-05,2025-05-16,2025-05-18,715,Bike,Machinery,240,Delivered
10173,Kolkata,Kolkata_WH,2025-05-07,2025-05-12,2025-05-21,587,Truck,Toys,454,Delivered
10174,Bangalore,Chennai_WH,2025-04-11,2025-05-02,2025-05-09,538,Air,Electronics,339,Pending
10175,Hyderabad,Ahmedabad_WH,2025-05-04,2025-05-19,2025-06-02,436,Train,Electronics,107,In Transit
10176,Lucknow,Pune_WH,2025-04-10,2025-04-13,2025-05-28,2058,Truck,Apparel,435,Cancelled
10177,Bangalore,Ahmedabad_WH,2025-04-24,2025-05-07,2025-06-04,919,Bike,Electronics,237,Cancelled
10178,Bangalore,Delhi_WH,2025-04-10,2025-05-06,2025-06-07,192,Truck,Apparel,326,Delivered
10179,Jaipur,Pune_WH,2025-04-23,2025-05-03,2025-06-03,1111,Train,Apparel,295,In Transit
10180,Hyderabad,Chennai_WH,2025-04-25,2025-05-13,2025-05-29,710,Bike,Machinery,468,Delivered
10181,Lucknow,Hyderabad_WH,2025-05-02,2025-05-09,2025-06-08,1806,Bike,Groceries,13,Cancelled
10182,Chennai,Ahmedabad_WH,2025-05-06,2025-05-16,2025-05-25,1176,Ship,Furniture,37,In Transit
10183,Delhi,Jaipur_WH,2025-04-21,2025-05-01,2025-05-08,951,Air,Apparel,78,Cancelled
10184,Jaipur,Delhi_WH,2025-05-04,2025-05-08,2025-05-26,867,Ship,Books,374,Pending
10185,Hyderabad,Kolkata_WH,2025-05-04,2025-05-06,2025-05-14,1364,Air,Machinery,446,In Transit
10186,Mumbai,Delhi_WH,2025-04-13,2025-04-27,2025-05-26,1357,Ship,Electronics,233,In Transit
10187,Delhi,Mumbai_WH,2025-04-15,2025-05-12,2025-06-04,1175,Truck,Machinery,257,Cancelled
10188,Pune,Kolkata_WH,2025-04-22,2025-05-08,2025-05-10,1647,Bike,Groceries,153,In Transit
10189,Bangalore,Bangalore_WH,2025-04-15,2025-05-19,2025-05-20,1281,Ship,Groceries,295,In Transit
10190,Ahmedabad,Pune_WH,2025-04-21,2025-05-14,2025-05-18,1212,Bike,Electronics,136,In Transit
10191,Delhi,Kolkata_WH,2025-04-23,2025-05-18,2025-06-05,2475,Truck,Apparel,369,Pending
10192,Ahmedabad,Chennai_WH,2025-05-03,2025-05-07,2025-05-23,1742,Air,Machinery,456,In Transit
10193,Pune,Bangalore_WH,2025-04-29,2025-05-16,2025-05-31,11,Truck,Electronics,118,Cancelled
10194,Jaipur,Bangalore_WH,2025-05-02,2025-05-15,2025-06-01,1824,Truck,Furniture,237,Delivered
10195,Kolkata,Delhi_WH,2025-04-21,2025-04-22,2025-05-12,1835,Train,Apparel,3,Delivered
10196,Jaipur,Bangalore_WH,2025-05-09,2025-05-09,2025-05-16,1550,Air,Groceries,327,Cancelled
10197,Kolkata,Kolkata_WH,2025-05-04,2025-05-11,2025-05-30,1630,Ship,Electronics,366,Cancelled
10198,Lucknow,Kolkata_WH,2025-04-19,2025-04-19,2025-06-08,1628,Train,Toys,346,In Transit
10199,Lucknow,Pune_WH,2025-04-13,2025-05-11,2025-05-14,311,Bike,Toys,129,Delivered
10200,Chennai,Bangalore_WH,2025-05-07,2025-05-12,2025-05-20,1888,Ship,Groceries,195,In Transit
10201,Pune,Hyderabad_WH,2025-04-14,2025-05-02,2025-05-15,842,Bike,Groceries,424,Delivered
10202,Jaipur,Jaipur_WH,2025-05-01,2025-05-10,2025-06-06,140,Air,Electronics,217,Delivered
10203,Delhi,Jaipur_WH,2025-04-18,2025-05-10,2025-06-06,2251,Bike,Furniture,113,Cancelled
10204,Delhi,Chennai_WH,2025-04-16,2025-05-06,2025-05-13,1791,Ship,Machinery,255,Delivered
10205,Bangalore,Kolkata_WH,2025-04-17,2025-05-17,2025-05-19,182,Air,Apparel,193,Cancelled
10206,Lucknow,Jaipur_WH,2025-04-25,2025-04-27,2025-06-02,1400,Air,Books,61,Delivered
10207,Lucknow,Lucknow_WH,2025-05-08,2025-05-13,2025-05-19,1207,Truck,Groceries,217,Delivered
10208,Kolkata,Hyderabad_WH,2025-05-03,2025-05-03,2025-06-02,1060,Bike,Groceries,498,Delivered
10209,Lucknow,Chennai_WH,2025-05-01,2025-05-04,2025-05-09,1426,Train,Apparel,343,Cancelled
10210,Kolkata,Ahmedabad_WH,2025-04-17,2025-05-05,2025-06-05,410,Truck,Pharma,252,Cancelled
10211,Bangalore,Mumbai_WH,2025-04-26,2025-05-16,2025-05-27,313,Bike,Electronics,297,In Transit
10212,Lucknow,Lucknow_WH,2025-04-25,2025-05-02,2025-05-21,2352,Train,Apparel,32,Delivered
10213,Hyderabad,Kolkata_WH,2025-04-10,2025-04-15,2025-05-24,16,Bike,Toys,16,Delivered
10214,Ahmedabad,Hyderabad_WH,2025-04-10,2025-05-14,2025-06-01,2396,Ship,Apparel,457,In Transit
10215,Pune,Pune_WH,2025-04-26,2025-05-16,2025-05-23,1716,Truck,Electronics,445,Delivered
10216,Pune,Lucknow_WH,2025-04-28,2025-05-03,2025-06-01,1369,Train,Electronics,100,Cancelled
10217,Delhi,Pune_WH,2025-04-10,2025-05-19,2025-05-28,2228,Ship,Apparel,364,Delivered
10218,Chennai,Pune_WH,2025-04-13,2025-04-27,2025-06-01,765,Truck,Groceries,191,Pending
10219,Delhi,Chennai_WH,2025-05-02,2025-05-18,2025-05-23,619,Train,Machinery,210,Pending
10220,Mumbai,Kolkata_WH,2025-04-13,2025-05-17,2025-05-28,1845,Truck,Toys,467,Delivered
10221,Mumbai,Pune_WH,2025-04-19,2025-04-29,2025-05-23,1740,Truck,Apparel,231,Pending
10222,Chennai,Delhi_WH,2025-04-30,2025-05-13,2025-05-31,2209,Air,Electronics,159,Cancelled
10223,Ahmedabad,Bangalore_WH,2025-04-15,2025-04-16,2025-04-25,399,Air,Books,234,Pending
10224,Chennai,Chennai_WH,2025-05-05,2025-05-19,2025-06-06,942,Truck,Groceries,215,Cancelled
10225,Delhi,Chennai_WH,2025-04-28,2025-05-16,2025-05-24,182,Ship,Furniture,257,In Transit
10226,Hyderabad,Delhi_WH,2025-04-17,2025-04-30,2025-05-28,913,Truck,Books,95,Pending
10227,Ahmedabad,Jaipur_WH,2025-05-04,2025-05-15,2025-05-19,739,Bike,Furniture,500,Delivered
10228,Chennai,Lucknow_WH,2025-05-02,2025-05-05,2025-05-20,1408,Bike,Electronics,432,In Transit
10229,Chennai,Pune_WH,2025-04-12,2025-04-19,2025-04-26,717,Bike,Furniture,363,Delivered
10230,Lucknow,Mumbai_WH,2025-04-26,2025-04-30,2025-05-20,225,Truck,Electronics,159,Delivered
10231,Chennai,Lucknow_WH,2025-04-24,2025-05-19,2025-05-27,2416,Truck,Furniture,210,In Transit
10232,Hyderabad,Mumbai_WH,2025-05-09,2025-05-12,2025-05-23,760,Truck,Furniture,475,In Transit
10233,Ahmedabad,Jaipur_WH,2025-04-14,2025-04-30,2025-05-21,272,Train,Machinery,296,Cancelled
10234,Delhi,Pune_WH,2025-04-11,2025-05-04,2025-05-20,1932,Air,Electronics,199,Cancelled
10235,Mumbai,Pune_WH,2025-04-16,2025-05-02,2025-05-30,2293,Truck,Groceries,326,In Transit
10236,Jaipur,Mumbai_WH,2025-04-29,2025-05-06,2025-06-03,762,Train,Pharma,60,Cancelled
10237,Bangalore,Lucknow_WH,2025-04-28,2025-05-11,2025-05-21,1958,Bike,Furniture,129,Cancelled
10238,Bangalore,Jaipur_WH,2025-05-07,2025-05-16,2025-05-22,894,Ship,Groceries,79,Pending
10239,Delhi,Lucknow_WH,2025-05-08,2025-05-10,2025-05-24,1698,Ship,Furniture,94,Delivered
10240,Pune,Hyderabad_WH,2025-05-06,2025-05-08,2025-05-29,252,Train,Toys,414,In Transit
10241,Mumbai,Ahmedabad_WH,2025-04-16,2025-05-17,2025-05-21,1386,Air,Groceries,467,Cancelled
10242,Lucknow,Pune_WH,2025-04-24,2025-05-19,2025-05-28,1095,Train,Books,37,Cancelled
10243,Jaipur,Ahmedabad_WH,2025-04-27,2025-05-19,2025-05-30,1788,Truck,Groceries,407,Pending
10244,Delhi,Delhi_WH,2025-04-10,2025-05-17,2025-05-29,2031,Air,Groceries,438,Pending
